x,codo
"-0,0618","-0,0027"
"0,4946","-0,00091"
"1,4882","-0,00091"
"2,4818","-0,00091"
"3,4754","-0,00091"
"4,4691","-0,00091"
"5,4627","-0,00091"
"5,9396","0,00088"
"6,9332","0,00266"
"7,9269","0,00445"
"8,8808","0,00624"
"9,8744","0,00802"
"10,8283","0,01159"
"11,8219","0,01695"
"12,7361","0,0241"
"13,6901","0,03303"
"14,6042","0,04196"
"15,5184","0,05268"
"16,3929","0,06876"
"17,2674","0,08484"
"18,1419","0,1027"
"18,9767","0,12235"
"19,7718","0,14557"
"20,6066","0,1688"
"21,3619","0,19202"
"22,1172","0,21882"
"22,8726","0,2474"
"23,6279","0,27598"
"24,3435","0,30635"
"25,0591","0,33493"
"25,7747","0,36709"
"26,4904","0,39924"
"27,206","0,42961"
"27,9216","0,45998"
"28,5975","0,49035"
"29,3131","0,5225"
"30,0287","0,55108"
"30,7443","0,58324"
"31,4599","0,61182"
"32,2153","0,6404"
"32,9309","0,6672"
"33,726","0,69578"
"34,4813","0,72079"
"35,2763","0,74401"
"36,1111","0,76724"
"36,9062","0,79046"
"37,7012","0,8119"
"38,5758","0,83155"
"39,4502","0,84762"
"40,3248","0,86549"
"44,0214","0,92265"
"44,9753","0,9298"
"45,8895","0,93873"
"46,8037","0,94766"
"47,7576","0,95481"
"48,7115","0,96195"
"49,6654","0,96552"
