x,diff
"0,0099435","0,0070058"
"0,010363","0,0066949"
"0,0108002","0,006384"
"0,0111788","0,0060601"
"0,0116504","0,0057492"
"0,0121419","0,0054383"
"0,0127414","0,0051274"
"0,0133705","0,0048164"
"0,0140306","0,0045055"
"0,014825","0,0041946"
"0,015772","0,0038837"
"0,016665","0,0035858"
"0,017852","0,0032878"
"0,019123","0,0029899"
"0,020626","0,0027049"
"0,022401","0,0024199"
"0,024665","0,0021608"
"0,027157","0,0018888"
"0,030524","0,0016427"
"0,034309","0,0014095"
"0,038828","0,0012023"
"0,04455","0,001008"
"0,051115","0,0008397"
"0,059458","0,0007102"
"0,069163","0,0005807"
"0,080451","0,0004901"
"0,094226","0,0003995"
"0,110359","0,0003348"
"0,130145","0,000283"
"0,15348","0,0002442"
"0,18099","0,0002055"
"0,21344","0,0001667"
"0,25171","0,0001538"
"0,29888","0,000128"
"0,35246","0,0001021"
"0,41851","8,93e-05"
"0,49694","8,93e-05"
"0,59007","7,65e-05"
"0,69585","6,36e-05"
"0,82625","6,37e-05"
"0,9811","5,08e-05"
"1,16495","5,09e-05"
"1,38327","3,8e-05"
"1,6425","3,81e-05"
"1,9503","3,82e-05"
"2,3158","3,83e-05"
"2,7309","2,54e-05"
"3,2427","2,55e-05"
"3,8504","2,56e-05"
"4,5719","2,56e-05"
"5,4287","2,57e-05"
"6,446","2,58e-05"
"7,654","2,59e-05"
"8,903",5e-08
"10,0338",-4e-07
"11,6387",2e-07
"13,8198",3e-07
"16,41",3e-07
"19,485",4e-07
"22,82",5e-07
"27,097",6e-07
"31,518",7e-07
"37,425",7e-07
"43,832",8e-07
