x,vel_11ms
"-88,91","1,00171"
"-73,758","0,99885"
"-59,363","0,99457"
"-47,62","0,98298"
"-40,675","0,97163"
"-36,319","0,96171"
"-31,836","0,94824"
"-28,49","0,93005"
"-25,017","0,90997"
"-20,093","0,86108"
"-19,083","0,84408"
"-16,557","0,8044"
"-13,211","0,73308"
"-10,938","0,66129"
"-8,602","0,58289"
"-6,456","0,50378"
"-4,499","0,4046"
"-2,731","0,351"
"-0,458","0,27047"
"1,689","0,22466"
"3,52","0,20623"
"5,856","0,19419"
"7,497","0,18946"
"13,306","0,1878"
"20,945","0,18873"
"24,481","0,18235"
"26,312","0,16983"
"27,953","0,14904"
"29,342","0,12661"
"30,542","0,11598"
"33,067","0,1096"
"37,234","0,1018"
"43,674","0,09494"
"50,682","0,09021"
"68,486","0,08663"
"101,19","0,08468"
"172,785","0,08408"
"245,454","0,08371"
"278,348","0,08342"
